"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","Predict","BaseModel"
0.768,0.526453298497714,0.684096576887418,0.838788339469725,0.52,9.77337676361392e-09,1.99858150813818e-07,1,0.516666666666667,0.691489361702128,1,0.691489361702128,1,0.817610062893082,0.52,0.52,0.752,0.758333333333333,"PRJEB27928","ThomasAM_2018b"
0.7375,0.475,0.627149169787568,0.829590748899592,0.5,1.26455512823353e-05,0.190430263825524,0.825,0.65,0.702127659574468,0.787878787878788,0.702127659574468,0.825,0.758620689655172,0.5,0.4125,0.5875,0.7375,"PRJDB4176","ThomasAM_2018b"
0.631578947368421,0.259511289823693,0.53614316812572,0.719998701509349,0.535087719298246,0.0237147131166495,1,0.655737704918033,0.60377358490566,0.655737704918033,0.60377358490566,0.655737704918033,0.655737704918033,0.655737704918033,0.535087719298246,0.350877192982456,0.535087719298246,0.629755644911847,"ZellerG_2014","ThomasAM_2018b"
0.7421875,0.500473036896878,0.657413582228327,0.815417264635987,0.5859375,0.000165332099561331,0.000128295178195321,0.905660377358491,0.626666666666667,0.631578947368421,0.903846153846154,0.631578947368421,0.905660377358491,0.744186046511628,0.4140625,0.375,0.59375,0.766163522012579,"YuJ_2015","ThomasAM_2018b"
0.615384615384615,0.230769230769231,0.514880004561846,0.709138731654447,0.5,0.0118228178748841,3.13034139901678e-08,0.961538461538462,0.269230769230769,0.568181818181818,0.875,0.568181818181818,0.961538461538462,0.714285714285714,0.5,0.480769230769231,0.846153846153846,0.615384615384615,"VogtmannE_2016","ThomasAM_2018b"
0.509433962264151,0.0946123521681998,0.368395393968202,0.64938156028936,0.547169811320755,0.755404187564497,9.44304386112342e-07,1,0.103448275862069,0.48,1,0.48,1,0.648648648648649,0.452830188679245,0.452830188679245,0.943396226415094,0.551724137931034,"ThomasAM_2018a","ThomasAM_2018b"
0.738317757009346,0.448453608247423,0.644460119775827,0.818545878898115,0.570093457943925,0.000231632842919911,0.0376353137873142,0.868852459016393,0.565217391304348,0.726027397260274,0.764705882352941,0.726027397260274,0.868852459016393,0.791044776119403,0.570093457943925,0.495327102803738,0.682242990654206,0.717034925160371,"FengQ_2015","ThomasAM_2018b"
0.9,0.801762114537445,0.794942263291936,0.962408730891434,0.533333333333333,1.06615867685478e-09,0.0412268333371636,1,0.8125,0.823529411764706,1,0.823529411764706,1,0.903225806451613,0.466666666666667,0.466666666666667,0.566666666666667,0.90625,"ThomasAM_2018b","ThomasAM_2018b"
0.544,0.088291746641075,0.452549506949728,0.63331762708257,0.52,0.327664884557596,0.791081512920782,0.538461538461538,0.55,0.564516129032258,0.523809523809524,0.564516129032258,0.538461538461538,0.551181102362205,0.52,0.28,0.496,0.544230769230769,"PRJEB27928","ThomasAM_2018a"
0.5875,0.175,0.471848340425204,0.696475407062406,0.5,0.072817727201491,1,0.6,0.575,0.585365853658537,0.58974358974359,0.585365853658537,0.6,0.592592592592593,0.5,0.3,0.5125,0.5875,"PRJDB4176","ThomasAM_2018a"
0.631578947368421,0.255828411563569,0.53614316812572,0.719998701509349,0.535087719298246,0.0237147131166495,0.64342884356362,0.688524590163934,0.566037735849057,0.646153846153846,0.612244897959184,0.646153846153846,0.688524590163934,0.666666666666667,0.535087719298246,0.368421052631579,0.570175438596491,0.627281163006496,"ZellerG_2014","ThomasAM_2018a"
0.5390625,0.0975143403441683,0.448773998399082,0.627502602114852,0.5859375,0.877967754722789,0.0191088636447405,0.622641509433962,0.48,0.458333333333333,0.642857142857143,0.458333333333333,0.622641509433962,0.528,0.4140625,0.2578125,0.5625,0.551320754716981,"YuJ_2015","ThomasAM_2018a"
0.596153846153846,0.192307692307692,0.495432310829084,0.691252783311745,0.5,0.0309631899393138,0.00337043144739772,0.403846153846154,0.788461538461538,0.65625,0.569444444444444,0.65625,0.403846153846154,0.5,0.5,0.201923076923077,0.307692307692308,0.596153846153846,"VogtmannE_2016","ThomasAM_2018a"
0.55,0.136460554371002,0.416119145633216,0.678778476536643,0.533333333333333,0.449724886377965,0.000118600138662247,0.892857142857143,0.25,0.510204081632653,0.727272727272727,0.510204081632653,0.892857142857143,0.649350649350649,0.466666666666667,0.416666666666667,0.816666666666667,0.571428571428571,"ThomasAM_2018b","ThomasAM_2018a"
0.644859813084112,0.251472754050074,0.546484346021596,0.734993660842889,0.570093457943925,0.0706064546477534,0.0743529053685634,0.786885245901639,0.456521739130435,0.657534246575342,0.617647058823529,0.657534246575342,0.786885245901639,0.716417910447761,0.570093457943925,0.448598130841121,0.682242990654206,0.621703492516037,"FengQ_2015","ThomasAM_2018a"
0.867924528301887,0.740014015416959,0.746631767136264,0.945209898146819,0.547169811320755,6.5490539491316e-07,0.0233422020128909,1,0.758620689655172,0.774193548387097,1,0.774193548387097,1,0.872727272727273,0.452830188679245,0.452830188679245,0.584905660377358,0.879310344827586,"ThomasAM_2018a","ThomasAM_2018a"
0.768,0.528301886792453,0.684096576887418,0.838788339469725,0.52,9.77337676361392e-09,4.4020389109888e-05,0.953846153846154,0.566666666666667,0.704545454545455,0.918918918918919,0.704545454545455,0.953846153846154,0.810457516339869,0.52,0.496,0.704,0.76025641025641,"PRJEB27928","FengQ_2015"
0.7,0.4,0.587240676918624,0.797426070853327,0.5,0.000225758635957405,0.153041884158821,0.8,0.6,0.666666666666667,0.75,0.666666666666667,0.8,0.727272727272727,0.5,0.4,0.6,0.7,"PRJDB4176","FengQ_2015"
0.701754385964912,0.40203640851589,0.608897251528756,0.783820269040134,0.535087719298246,0.000208147404299284,0.863831742854727,0.704918032786885,0.69811320754717,0.728813559322034,0.672727272727273,0.728813559322034,0.704918032786885,0.716666666666667,0.535087719298246,0.37719298245614,0.517543859649123,0.701515620167028,"ZellerG_2014","FengQ_2015"
0.765625,0.529987760097919,0.682624479936915,0.835939811103972,0.5859375,1.52554450251797e-05,0.10034824646229,0.811320754716981,0.733333333333333,0.682539682539683,0.846153846153846,0.682539682539683,0.811320754716981,0.741379310344828,0.4140625,0.3359375,0.4921875,0.772327044025157,"YuJ_2015","FengQ_2015"
0.538461538461538,0.0769230769230769,0.437954940224013,0.636721171561695,0.5,0.246322533243251,0.665005542102029,0.5,0.576923076923077,0.541666666666667,0.535714285714286,0.541666666666667,0.5,0.52,0.5,0.25,0.461538461538462,0.538461538461538,"VogtmannE_2016","FengQ_2015"
0.7,0.41304347826087,0.567916866123938,0.811548554580277,0.533333333333333,0.00635341616928913,0.00952189118409885,0.892857142857143,0.53125,0.625,0.85,0.625,0.892857142857143,0.735294117647059,0.466666666666667,0.416666666666667,0.666666666666667,0.712053571428571,"ThomasAM_2018b","FengQ_2015"
0.660377358490566,0.351902173913043,0.51733069354063,0.784800362052537,0.547169811320755,0.0634080254397511,0.000406952017444959,0.958333333333333,0.413793103448276,0.575,0.923076923076923,0.575,0.958333333333333,0.71875,0.452830188679245,0.433962264150943,0.754716981132076,0.686063218390805,"ThomasAM_2018a","FengQ_2015"
0.88785046728972,0.768731988472622,0.812290612863575,0.940689954010356,0.570093457943925,7.70538101983877e-13,0.386476230771233,0.934426229508197,0.826086956521739,0.876923076923077,0.904761904761905,0.876923076923077,0.934426229508197,0.904761904761905,0.570093457943925,0.532710280373832,0.607476635514019,0.880256593014968,"FengQ_2015","FengQ_2015"
