"FPR","TPR","Predict","BaseModel"
0.0188679245283019,0.306666666666667,"YuJ_2015","PRJEB27928"
0.0188679245283019,0.32,"YuJ_2015","PRJEB27928"
0.0377358490566038,0.333333333333333,"YuJ_2015","PRJEB27928"
0.0377358490566038,0.36,"YuJ_2015","PRJEB27928"
0.0377358490566038,0.373333333333333,"YuJ_2015","PRJEB27928"
0.0377358490566038,0.386666666666667,"YuJ_2015","PRJEB27928"
0.0377358490566038,0.4,"YuJ_2015","PRJEB27928"
0.0377358490566038,0.413333333333333,"YuJ_2015","PRJEB27928"
0.0566037735849057,0.413333333333333,"YuJ_2015","PRJEB27928"
0.0754716981132075,0.413333333333333,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.413333333333333,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.426666666666667,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.453333333333333,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.466666666666667,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.48,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.506666666666667,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.52,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.546666666666667,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.586666666666667,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.6,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.613333333333333,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.626666666666667,"YuJ_2015","PRJEB27928"
0.0943396226415094,0.64,"YuJ_2015","PRJEB27928"
0.113207547169811,0.653333333333333,"YuJ_2015","PRJEB27928"
0.113207547169811,0.666666666666667,"YuJ_2015","PRJEB27928"
0.132075471698113,0.693333333333333,"YuJ_2015","PRJEB27928"
0.132075471698113,0.706666666666667,"YuJ_2015","PRJEB27928"
0.132075471698113,0.72,"YuJ_2015","PRJEB27928"
0.132075471698113,0.733333333333333,"YuJ_2015","PRJEB27928"
0.150943396226415,0.746666666666667,"YuJ_2015","PRJEB27928"
0.150943396226415,0.76,"YuJ_2015","PRJEB27928"
0.150943396226415,0.773333333333333,"YuJ_2015","PRJEB27928"
0.169811320754717,0.786666666666667,"YuJ_2015","PRJEB27928"
0.188679245283019,0.786666666666667,"YuJ_2015","PRJEB27928"
0.207547169811321,0.786666666666667,"YuJ_2015","PRJEB27928"
0.226415094339623,0.8,"YuJ_2015","PRJEB27928"
0.226415094339623,0.813333333333333,"YuJ_2015","PRJEB27928"
0.226415094339623,0.826666666666667,"YuJ_2015","PRJEB27928"
0.245283018867925,0.84,"YuJ_2015","PRJEB27928"
0.245283018867925,0.853333333333333,"YuJ_2015","PRJEB27928"
0.264150943396226,0.853333333333333,"YuJ_2015","PRJEB27928"
0.283018867924528,0.853333333333333,"YuJ_2015","PRJEB27928"
0.320754716981132,0.853333333333333,"YuJ_2015","PRJEB27928"
0.339622641509434,0.853333333333333,"YuJ_2015","PRJEB27928"
0.377358490566038,0.853333333333333,"YuJ_2015","PRJEB27928"
0.39622641509434,0.853333333333333,"YuJ_2015","PRJEB27928"
0.415094339622642,0.853333333333333,"YuJ_2015","PRJEB27928"
0.433962264150943,0.853333333333333,"YuJ_2015","PRJEB27928"
0.433962264150943,0.866666666666667,"YuJ_2015","PRJEB27928"
0.452830188679245,0.866666666666667,"YuJ_2015","PRJEB27928"
0.471698113207547,0.88,"YuJ_2015","PRJEB27928"
0.490566037735849,0.88,"YuJ_2015","PRJEB27928"
0.509433962264151,0.88,"YuJ_2015","PRJEB27928"
0.528301886792453,0.88,"YuJ_2015","PRJEB27928"
0.547169811320755,0.88,"YuJ_2015","PRJEB27928"
0.584905660377358,0.893333333333333,"YuJ_2015","PRJEB27928"
0.60377358490566,0.893333333333333,"YuJ_2015","PRJEB27928"
0.622641509433962,0.893333333333333,"YuJ_2015","PRJEB27928"
0.641509433962264,0.893333333333333,"YuJ_2015","PRJEB27928"
0.641509433962264,0.906666666666667,"YuJ_2015","PRJEB27928"
0.660377358490566,0.906666666666667,"YuJ_2015","PRJEB27928"
0.679245283018868,0.906666666666667,"YuJ_2015","PRJEB27928"
0.69811320754717,0.906666666666667,"YuJ_2015","PRJEB27928"
0.69811320754717,0.92,"YuJ_2015","PRJEB27928"
0.716981132075472,0.92,"YuJ_2015","PRJEB27928"
0.716981132075472,0.933333333333333,"YuJ_2015","PRJEB27928"
0.735849056603774,0.933333333333333,"YuJ_2015","PRJEB27928"
0.754716981132076,0.933333333333333,"YuJ_2015","PRJEB27928"
0.773584905660377,0.933333333333333,"YuJ_2015","PRJEB27928"
0.792452830188679,0.933333333333333,"YuJ_2015","PRJEB27928"
0.811320754716981,0.933333333333333,"YuJ_2015","PRJEB27928"
0.830188679245283,0.933333333333333,"YuJ_2015","PRJEB27928"
0.849056603773585,0.933333333333333,"YuJ_2015","PRJEB27928"
0.849056603773585,0.946666666666667,"YuJ_2015","PRJEB27928"
0.849056603773585,0.96,"YuJ_2015","PRJEB27928"
0.849056603773585,0.973333333333333,"YuJ_2015","PRJEB27928"
0.867924528301887,0.973333333333333,"YuJ_2015","PRJEB27928"
0.886792452830189,0.973333333333333,"YuJ_2015","PRJEB27928"
0.905660377358491,0.973333333333333,"YuJ_2015","PRJEB27928"
0.924528301886792,0.986666666666667,"YuJ_2015","PRJEB27928"
0.943396226415094,0.986666666666667,"YuJ_2015","PRJEB27928"
0.962264150943396,0.986666666666667,"YuJ_2015","PRJEB27928"
0.981132075471698,0.986666666666667,"YuJ_2015","PRJEB27928"
0.981132075471698,1,"YuJ_2015","PRJEB27928"
1,1,"YuJ_2015","PRJEB27928"
0,0,"VogtmannE_2016","PRJEB27928"
0,0.0192307692307692,"VogtmannE_2016","PRJEB27928"
0,0.0576923076923077,"VogtmannE_2016","PRJEB27928"
0,0.0769230769230769,"VogtmannE_2016","PRJEB27928"
0,0.0961538461538462,"VogtmannE_2016","PRJEB27928"
0,0.115384615384615,"VogtmannE_2016","PRJEB27928"
0,0.134615384615385,"VogtmannE_2016","PRJEB27928"
0,0.153846153846154,"VogtmannE_2016","PRJEB27928"
0,0.173076923076923,"VogtmannE_2016","PRJEB27928"
0.0192307692307692,0.192307692307692,"VogtmannE_2016","PRJEB27928"
0.0192307692307692,0.211538461538462,"VogtmannE_2016","PRJEB27928"
0.0192307692307692,0.230769230769231,"VogtmannE_2016","PRJEB27928"
0.0192307692307692,0.25,"VogtmannE_2016","PRJEB27928"
0.0192307692307692,0.288461538461538,"VogtmannE_2016","PRJEB27928"
0.0384615384615385,0.288461538461538,"VogtmannE_2016","PRJEB27928"
0.0384615384615385,0.307692307692308,"VogtmannE_2016","PRJEB27928"
0.0576923076923077,0.307692307692308,"VogtmannE_2016","PRJEB27928"
0.0769230769230769,0.307692307692308,"VogtmannE_2016","PRJEB27928"
0.0769230769230769,0.326923076923077,"VogtmannE_2016","PRJEB27928"
0.0961538461538462,0.326923076923077,"VogtmannE_2016","PRJEB27928"
0.0961538461538462,0.346153846153846,"VogtmannE_2016","PRJEB27928"
0.0961538461538462,0.365384615384615,"VogtmannE_2016","PRJEB27928"
0.0961538461538462,0.384615384615385,"VogtmannE_2016","PRJEB27928"
0.115384615384615,0.403846153846154,"VogtmannE_2016","PRJEB27928"
0.134615384615385,0.403846153846154,"VogtmannE_2016","PRJEB27928"
0.153846153846154,0.403846153846154,"VogtmannE_2016","PRJEB27928"
0.173076923076923,0.423076923076923,"VogtmannE_2016","PRJEB27928"
0.192307692307692,0.423076923076923,"VogtmannE_2016","PRJEB27928"
0.192307692307692,0.442307692307692,"VogtmannE_2016","PRJEB27928"
0.192307692307692,0.461538461538462,"VogtmannE_2016","PRJEB27928"
