"Species";"Pvalue";"Ctlmean";"Ctlmedian";"CRCmean";"CRCmedian";"SamplingCountForEachGroup";"pvalue";"adj.fdr.p";"Enrichment"
"Anaerofustis_stercorihominis";0,0224936774541325;0;"0";0,000749;"0";"66";0,0224936774541325;0,354650314526822;"Nodiff"
"Burkholderia_unclassified";0,0224936774541325;0,00133075;"0";0;"0";"159";0,0224936774541325;0,354650314526822;"Nodiff"
"Clostridium_hylemonae";0,0224936774541325;0;"0";0,0010345;"0";"210";0,0224936774541325;0,354650314526822;"Nodiff"
"Fusobacterium_ulcerans";0,0224936774541325;0;"0";0,00499525;"0";"351";0,0224936774541325;0,354650314526822;"Nodiff"
"Fusobacterium_varium";0,0224936774541325;0;"0";0,257773;"0";"352";0,0224936774541325;0,354650314526822;"Nodiff"
"Porphyromonas_somerae";0,0224936774541325;0;"0";0,013915;"0";"538";0,0224936774541325;0,354650314526822;"Nodiff"
"Prevotella_timonensis";0,0224936774541325;0;"0";0,00639375;"0";"567";0,0224936774541325;0,354650314526822;"Nodiff"
"Pseudoflavonifractor_capillosus";0,0233515543025657;0,00600775;"0";0,00836525;"0.00344";"578";0,0233515543025657;0,356299522100438;"Nodiff"
"Acidaminococcus_intestini";0,0249502287439442;0,04275725;"0";0,0067575;"0";"5";0,0249502287439442;0,361240717164366;"Nodiff"
"Anaerotruncus_unclassified";0,0252028407323976;0,02201975;"0.00955";0,075881;"0.024675";"73";0,0252028407323976;0,361240717164366;"Nodiff"
"Faecalibacterium_prausnitzii";0,0268846180265391;10,186477;"8.343995";6,065623;"5.01989";"340";0,0268846180265391;0,361550901734014;"Nodiff"
"Roseburia_unclassified";0,027196389599407;0,0412755;"0";0,11488775;"0";"598";0,027196389599407;0,361550901734014;"Nodiff"
"Solobacterium_moorei";0,0288953229513853;0,00208375;"0";0,05423975;"0.00146";"638";0,0288953229513853;0,361550901734014;"Nodiff"
"Roseburia_inulinivorans";0,0292151658921425;1,39311575;"0.623535";1,35212525;"0.128345";"597";0,0292151658921425;0,361550901734014;"Nodiff"
"Streptococcus_gordonii";0,0302763607020632;0,0027345;"0";0,0157725;"0";"661";0,0302763607020632;0,361550901734014;"Nodiff"
