"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"DRR127713","MMRS91297590ST.27.0.0","CCIS07539127ST.4.0","CCMD54057834ST.11.0","SZAXPI015271.93","CRC_MR_SBJ84H_17","SZAXPI015244.32","CCIS71578391ST.4.0","28.8593026348334","29.0449179163137","29.9398822043708","31.4921758919958","32.8199239989614","33.2907929570685","33.9088028961802","MMRS92544445ST.27.0.0","DRR127559","SZAXPI017454.20","LILT_VF270_T017","CCIS62605362ST.3.0","DRR127774","DRR127509","26.3113037769245","29.0741541610569","30.5940449943269","31.5624417327605","31.9092198668676","31.9310971241797","31.9371400670974"
"LILT_VF279_T016","MMRS17603756ST.27.0.0","CCMD54057834ST.11.0","CCMD35801800ST.11.0","SZAXPI015228.14","SZAXPI003419.6","DRR127583","SID532796","29.7144485859253","33.5332576337865","33.6477185871316","34.2825098094714","34.6098134253191","35.5688318158595","35.7937301252887","CCMD90311071ST.21.0","SZAXPI017582.94","SID531382","SZAXPI017454.20","MMRS72980899ST.27.0.0","SID530890","LILT_VF270_T017","31.4475499025934","31.8711490095494","31.9908188132564","33.8541693188475","34.0999451907067","34.5380479585167","35.0852634537779"
"MMRS17603756ST.27.0.0","SZAXPI015228.14","LILT_VF279_T016","CCMD54057834ST.11.0","SZAXPI003419.6","CCIS07539127ST.4.0","CRC_MR_SBJ84H_17","SZAXPI015244.32","28.4891549629311","29.7144485859253","29.7870558505452","30.5407075560767","31.973004951454","33.0322674541924","33.2233220326279","DRR127774","CCMD90311071ST.21.0","LILT_VF270_T017","SZAXPI017582.94","MMRS72980899ST.27.0.0","SZAXPI017454.20","DRR127509","25.3978061936952","25.7446044804091","26.2509024877851","27.4892651309652","28.5890214224831","30.200555953045","30.4554858600827"
"MMRS65742083ST.27.0.0","CRC_MR_SBJ67H_17","SZAXPI015258.57","CCMD54057834ST.11.0","CRC_MR_SBJ84H_17","CCIS15794887ST.4.0","SZAXPI015271.93","CCMD53522274ST.11.0","30.7790645849236","32.1464359894981","32.5695096523865","33.413076119916","33.4479813582898","33.5094404721699","33.5161299178962","CCIS77252613ST.4.0","CCMD23101338ST.21.0","SZAXPI017454.20","MMRS90191266ST.27.0.0","CCMD71242853ST.11.0","MMRS77487595ST.27.0.0","SID530890","30.9552465474804","32.4917347671188","33.0101460939603","33.5347812060717","33.5988924262527","33.6903583740037","34.1407609567391"
"MMRS86168210ST.27.0.0","SZAXPI015246.34","SID31071","SZAXPI015248.36","LILT_VF263_T016","CRC_MR_SBJ73H_17","MMRS91297590ST.27.0.0","CCIS15794887ST.4.0","19.6983918451685","34.1516167107942","35.2113631918362","35.7869717244544","36.0262604021039","37.2976997424452","37.512120143227","SZAXPI017452.17","LILT_VF73_16","CCIS35100175ST.4.0","SZAXPI017594.166","MMRS90191266ST.27.0.0","CCMD86707194ST.21.0","CCIS77252613ST.4.0","24.2405004021431","29.6540875457516","37.7715541189147","38.9351558896481","40.2789042196545","40.3062126551379","41.3183948336876"
"SID31236","CCIS34604008ST.4.0","CCIS27304052ST.3.0","CRC_MR_SBJ79H_17","SID31333","CCMD53508245ST.11.0","SID530177","SZAXPI015255.46","24.0419891087697","28.2837462205009","28.4412141881671","28.6492945947383","32.7886224033033","33.7455582769718","34.3922194107112","CCMD98531134ST.11.0","SID530890","SID31285","CRC_MR_SBJ10C_17","MMRS96422329ST.27.0.0","SID531469","SID31873","24.1664056323091","28.8128053005326","29.2073062351922","30.6148579022703","33.9793435219811","34.9269444669399","36.7137159687425"
"SID31333","CCIS71578391ST.4.0","CRC_MR_SBJ73H_17","CCMD53508245ST.11.0","CRC_MR_SBJ79H_17","SZAXPI015255.46","CRC_MR_SBJ67H_17","CCIS82944710ST.20.0","24.1254492580594","25.7821184598609","26.2528835303762","26.2578334612721","26.3604776741887","27.5711592197281","27.7602534788698","SID530890","CCMD98531134ST.11.0","CRC_MR_SBJ10C_17","DRR127767","MMRS96422329ST.27.0.0","SID31884","CRC_MR_SBJ42C_17","20.5053045920586","21.1495968278121","22.7858382909363","26.5849930635857","29.0166711558356","29.6121124829452","30.0623797490751"
"SID31637","CCIS09568613ST.4.0","SZAXPI015244.32","SID530364","SZAXPI015274.111","SID31333","CRC_MR_SBJ67H_17","SID530050","25.8005044816356","26.2874752474862","28.7177178254088","28.8003105400324","31.1508066314181","32.6913925310532","33.4728717324463","SID31868","CRC_MR_SBJ42C_17","SID31493","SID530890","SID31884","CCMD51864103ST.21.0","CRC_MR_SBJ10C_17","29.3044259517824","29.7511815429539","30.9841255313766","32.7220937571039","33.8288615838724","33.8707181319588","34.1441432425929"
"SID530050","CCMD54057834ST.11.0","SZAXPI015258.57","CRC_MR_SBJ84H_17","SZAXPI015271.93","CRC_MR_SBJ67H_17","CCIS71578391ST.4.0","CRC_MR_SBJ73H_17","21.2896650127333","21.3191410951802","21.8553071475145","21.9332100356833","22.0843359942019","23.3410374794224","23.749445099326","SZAXPI017454.20","CCMD90311071ST.21.0","SID530890","CRC_MR_SBJ42C_17","MMRS90191266ST.27.0.0","CCMD86707194ST.21.0","LILT_VF270_T017","20.5255713790701","22.6709719705354","22.7494047088995","23.0754550827627","23.3797194566017","24.6394823940175","25.1654858766387"
"SID530177","CCIS34604008ST.4.0","CCIS27304052ST.3.0","SID530444","CRC_MR_SBJ79H_17","CCIS82944710ST.20.0","CCMD54057834ST.11.0","CCIS71578391ST.4.0","26.3446811538667","29.0013462038851","31.512880126845","31.8607312828613","32.1592882978448","32.6300630754248","32.8323215801746","SID530890","CRC_MR_SBJ10C_17","CCMD98531134ST.11.0","SID31285","MMRS96422329ST.27.0.0","CCIS62605362ST.3.0","SZAXPI017454.20","27.1574954289143","27.8835036492314","29.399990308563","29.6797253770482","31.1951171751718","32.7790045545697","33.2398010074414"
