"AUC","Study","RepeatTimes","Fold","FeatureCount"
0.953125,"PRJDB4176",1,2,40
0.890625,"PRJDB4176",1,1,40
0.874125874125874,"ZellerG_2014",10,5,40
0.901515151515151,"ZellerG_2014",10,4,40
0.916666666666667,"ZellerG_2014",10,3,40
0.975,"ZellerG_2014",10,2,40
0.783216783216783,"ZellerG_2014",10,1,40
0.977272727272727,"ZellerG_2014",9,5,40
0.946969696969697,"ZellerG_2014",9,4,40
0.871212121212121,"ZellerG_2014",9,3,40
0.986013986013986,"ZellerG_2014",9,2,40
0.908333333333333,"ZellerG_2014",9,1,40
1,"ZellerG_2014",8,5,40
0.856060606060606,"ZellerG_2014",8,4,40
0.871212121212121,"ZellerG_2014",8,3,40
0.93006993006993,"ZellerG_2014",8,2,40
0.911538461538462,"ZellerG_2014",8,1,40
0.893939393939394,"ZellerG_2014",7,5,40
0.783216783216783,"ZellerG_2014",7,4,40
0.856060606060606,"ZellerG_2014",7,3,40
0.958333333333333,"ZellerG_2014",7,2,40
0.954545454545454,"ZellerG_2014",7,1,40
0.886363636363636,"ZellerG_2014",6,5,40
0.954545454545454,"ZellerG_2014",6,4,40
0.928030303030303,"ZellerG_2014",6,3,40
0.9625,"ZellerG_2014",6,2,40
0.915384615384615,"ZellerG_2014",6,1,40
0.984615384615385,"ZellerG_2014",5,5,40
0.933333333333333,"ZellerG_2014",5,4,40
1,"ZellerG_2014",5,3,40
0.991666666666667,"ZellerG_2014",5,2,40
0.803030303030303,"ZellerG_2014",5,1,40
0.841666666666667,"ZellerG_2014",4,5,40
0.966666666666667,"ZellerG_2014",4,4,40
0.875,"ZellerG_2014",4,3,40
0.924242424242424,"ZellerG_2014",4,2,40
0.966666666666667,"ZellerG_2014",4,1,40
0.916666666666667,"ZellerG_2014",3,5,40
0.958333333333333,"ZellerG_2014",3,4,40
0.977272727272727,"ZellerG_2014",3,3,40
0.916666666666667,"ZellerG_2014",3,2,40
1,"ZellerG_2014",3,1,40
0.84469696969697,"ZellerG_2014",2,5,40
0.983333333333333,"ZellerG_2014",2,4,40
0.867424242424242,"ZellerG_2014",2,3,40
0.962121212121212,"ZellerG_2014",2,2,40
0.975,"ZellerG_2014",2,1,40
0.810606060606061,"ZellerG_2014",1,5,40
0.85,"ZellerG_2014",1,4,40
0.875,"ZellerG_2014",1,3,40
0.923076923076923,"ZellerG_2014",1,2,40
0.979020979020979,"ZellerG_2014",1,1,40
0.94,"YuJ_2015",10,5,40
0.84,"YuJ_2015",10,4,40
0.953333333333333,"YuJ_2015",10,3,40
0.913333333333333,"YuJ_2015",10,2,40
0.903030303030303,"YuJ_2015",10,1,40
0.812121212121212,"YuJ_2015",9,5,40
0.906666666666667,"YuJ_2015",9,4,40
0.74,"YuJ_2015",9,3,40
0.853333333333333,"YuJ_2015",9,2,40
0.860606060606061,"YuJ_2015",9,1,40
0.946666666666667,"YuJ_2015",8,5,40
0.94,"YuJ_2015",8,4,40
0.946666666666667,"YuJ_2015",8,3,40
0.754545454545455,"YuJ_2015",8,2,40
0.993939393939394,"YuJ_2015",8,1,40
0.8,"YuJ_2015",7,5,40
0.872727272727273,"YuJ_2015",7,4,40
0.866666666666667,"YuJ_2015",7,3,40
0.918181818181818,"YuJ_2015",7,2,40
0.78,"YuJ_2015",7,1,40
0.872727272727273,"YuJ_2015",6,5,40
