"","Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Incre.aveRank.P","Enriched","Ctrlmean","CRCmean","log2FC","ID","Label","Shape"
"649","Staphylococcus_xylosus",1,7171,2831,10001,1416,8586,1,0.858514148585142,0.717028297170283,0.868354733808756,1,0.965035589464309,0.141585841415858,"N.S.","4.27884615384615e-05","0",-Inf,"","","B"
"650","Stenotrophomonas_maltophilia",3390,6175,3827,6612,3608.5,6393.5,0.661133886611339,0.639286071392861,0.617438256174383,0.799888479620506,1,0.905049045876662,0.360813918608139,"N.S.","8.68269230769231e-05","0.000536602564102564",2.62763958393883,"","","B"
"651","Stenotrophomonas_unclassified",606,8794,1208,9396,907,9095,0.93950604939506,0.909409059094091,0.879312068793121,0.957917238579172,1,0.985329120301722,0.0906909309069093,"N.S.","4.53846153846154e-05","6.1474358974359e-05",0.437781454935133,"","","B"
"652","Stomatobaculum_longum",9392,559,9443,610,9417.5,584.5,0.060993900609939,0.0584441555844416,0.0558944105589441,0.151653136573135,0.374825765286719,0.34885691758693,0.941655834416558,"N.S.","0.000162307692307692","0.000342980769230769",1.07939631175963,"","","B"
"653","Streptococcus_agalactiae",9824,161,9841,178,9832.5,169.5,0.0177982201779822,0.0169483051694831,0.0160983901609839,0.0556478006045549,0.226834213130411,0.219273072692731,0.983151684831517,"Disease","0.000733814102564103","0.00298807692307692",2.02573075246865,"","","B"
"654","Streptococcus_anginosus",9748,254,9748,254,9748,254,0.0253974602539746,0.0253974602539746,0.0253974602539746,0.0830035178300352,0.276678392766784,0.264648897429098,0.974702529747025,"Disease","0.0264184935897436","0.0568027884615385",1.10441354874598,"","","B"
"655","Streptococcus_australis",498,9503,499,9504,498.5,9503.5,0.95030496950305,0.95025497450255,0.95020497950205,0.991829471177339,1,0.995856292454934,0.0498450154984502,"Ctrl","0.0210717948717949","0.0195019551282051",-0.111694440895714,"","","B"
"656","Streptococcus_constellatus",9991,11,9991,11,9991,11,0.0010998900109989,0.0010998900109989,0.0010998900109989,0.00457121917866017,0.0494263073692631,0.0494263073692631,0.999000099990001,"Disease","0.000763814102564103","0.00288794871794872",1.9187516618473,"","Streptococcus_constellatus","B"
"657","Streptococcus_cristatus",9455,542,9460,547,9457.5,544.5,0.0546945305469453,0.0544445555444456,0.0541945805419458,0.148159328553837,0.357503340575033,0.344460336575038,0.945655434456554,"N.S.","0.000684647435897436","0.00294041666666667",2.10258744589765,"","","B"
"658","Streptococcus_downei",9480,162,9840,522,9660,342,0.0521947805219478,0.0341965803419658,0.0161983801619838,0.0557255279256763,0.351401308467284,0.2949151321427,0.965903409659034,"Disease","6.76282051282051e-06","0.000730384615384615",6.75488750216347,"","","B"
"659","Streptococcus_dysgalactiae",9955,13,9989,47,9972,30,0.0046995300469953,0.002999700029997,0.0012998700129987,0.00537130195026474,0.116515934613435,0.0862713728627137,0.997100289971003,"Disease","1.84294871794872e-05","0.00389955128205128",7.72514838667661,"","Streptococcus_dysgalactiae","B"
"660","Streptococcus_gallolyticus",9916,28,9974,86,9945,57,0.0085991400859914,0.0056994300569943,0.0027997200279972,0.0111833261118333,0.152553037379189,0.113830283638303,0.994400559944006,"Disease","7.1474358974359e-06","0.00190772435897436",8.06021124469944,"","","B"
"661","Streptococcus_gordonii",7217,2781,7221,2785,7219,2783,0.278472152784722,0.278272172782722,0.278072192780722,0.499834766523348,0.780472710304727,0.612075225404289,0.721827817218278,"N.S.","0.00713044871794872","0.0102310576923077",0.520890526194131,"","","B"
"662","Streptococcus_infantarius",3433,6308,3694,6569,3563.5,6438.5,0.656834316568343,0.643785621437856,0.630736926307369,0.810976580913337,1,0.905049045876662,0.356314368563144,"N.S.","0.00142278846153846","0.00126516025641026",-0.169401038626875,"","","B"
"663","Streptococcus_infantis",4095,5904,4098,5907,4096.5,5905.5,0.590640935906409,0.59049095090491,0.59034096590341,0.781685367374865,1,0.88083608651583,0.40960903909609,"N.S.","0.00782038461538462","0.00835153846153846",0.0948024225221128,"","","B"
"664","Streptococcus_intermedius",1373,8622,1380,8629,1376.5,8625.5,0.862813718628137,0.862463753624638,0.862113788621138,0.950815501271959,1,0.965035589464309,0.137636236376362,"N.S.","0.000596987179487179","0.000532147435897436",-0.165873937597114,"","","B"
"665","Streptococcus_lutetiensis",6734,3085,6917,3268,6825.5,3176.5,0.326767323267673,0.317618238176182,0.308469153084692,0.537020147864148,0.842099302614541,0.660852845351303,0.682481751824818,"N.S.","0.0024238141025641","0.00319528846153846",0.398667125685312,"","","B"
"666","Streptococcus_macedonicus",4646,5153,4849,5356,4747.5,5254.5,0.535546445355464,0.525397460253975,0.515248475152485,0.698988025725729,0.943769348555341,0.805460072329654,0.474702529747025,"N.S.","0.000253782051282051","0.000251698717948718",-0.0118921702668414,"","","B"
"667","Streptococcus_massiliensis",3256,3337,6665,6746,4960.5,5041.5,0.674532546745325,0.504099590040996,0.333666633336666,0.565816767379866,1,0.777784560599734,0.496000399960004,"N.S.","5.54807692307692e-05","0.000464134615384615",3.06448360279912,"","","B"
"668","Streptococcus_mitis_oralis_pneumoniae",8139,1861,8141,1863,8140,1862,0.186281371862814,0.186181381861814,0.186081391860814,0.383359658303511,0.681339480265172,0.579010136960988,0.813918608139186,"N.S.","0.0106509615384615","0.0150147435897436",0.495396159139567,"","","B"
"669","Streptococcus_mutans",1686,8313,1689,8316,1687.5,8314.5,0.831516848315168,0.831366863313669,0.831216878312169,0.936283665568124,1,0.961451130527973,0.168733126687331,"N.S.","0.0236361217948718","0.029819358974359",0.33525590626807,"","","B"
"670","Streptococcus_oligofermentans",9565,424,9578,437,9571.5,430.5,0.0436956304369563,0.043045695430457,0.0423957604239576,0.121930206979302,0.336519539535408,0.309068602943627,0.957054294570543,"Disease","5.92628205128205e-05","0.000386923076923077",2.70684758112249,"","","B"
"671","Streptococcus_parasanguinis",3680,6315,3687,6322,3683.5,6318.5,0.632136786321368,0.631786821317868,0.631436856314369,0.810976580913337,1,0.905049045876662,0.368313168683132,"N.S.","0.347796762820513","0.279521121794872",-0.315287201259843,"","","B"
"672","Streptococcus_parauberis",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000430495872568432,1,0.77319558366744,0.5000499950005,"N.S.","0","0",NA,"","","B"
"673","Streptococcus_pasteurianus",9851,144,9858,151,9854.5,147.5,0.0150984901509849,0.0147485251474853,0.0143985601439856,0.0502551686578915,0.207539623396151,0.200079048698904,0.985351464853515,"Disease","0.0173426602564103","0.00996041666666667",-0.800047216144935,"","","B"
"674","Streptococcus_peroris",9382,522,9480,620,9431,571,0.061993800619938,0.0570942905709429,0.0521947805219478,0.144061072819921,0.377741886828266,0.347888092546678,0.943005699430057,"N.S.","2.33974358974359e-05","7.38141025641026e-05",1.65754604202547,"","","B"
"675","Streptococcus_pseudopneumoniae",1154,7215,2787,8848,1970.5,8031.5,0.884711528847115,0.803069693030697,0.721427857214279,0.868354733808756,1,0.949919235050179,0.197030296970303,"N.S.","1.38141025641026e-05","1.5e-05",0.118820660494303,"","","B"
"676","Streptococcus_salivarius",286,9716,286,9716,286,9716,0.971502849715029,0.971502849715029,0.971502849715029,0.994244893692449,1,0.997077500227185,0.0285971402859714,"Ctrl","0.882302788461538","0.608984647435897",-0.534867986395525,"","","B"
"677","Streptococcus_sanguinis",1925,8077,1925,8077,1925,8077,0.807619238076192,0.807619238076192,0.807619238076192,0.929430256974303,1,0.950146176246976,0.192480751924808,"N.S.","0.0145493269230769","0.0166287179487179",0.192724529989653,"","","B"
"678","Streptococcus_sobrinus",4889,5037,4965,5113,4927,5075,0.511248875112489,0.507449255074493,0.503649635036496,0.693554173994365,0.906982700744704,0.779606868372992,0.492650734926507,"N.S.","0.00315272435897436","0.00306410256410256",-0.0411344523508586,"","","B"
"679","Streptococcus_sp_BS35b",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000430495872568432,1,0.77319558366744,0.5000499950005,"N.S.","0","0",NA,"","","B"
"680","Streptococcus_sp_GMD5S",1,5067,4935,10001,2468,7534,1,0.753324667533247,0.506649335066493,0.693554173994365,1,0.920580154822356,0.246775322467753,"N.S.","0.000444871794871795","0",-Inf,"","","B"
"681","Streptococcus_thermophilus",100,9901,101,9902,100.5,9901.5,0.99010098990101,0.99005099490051,0.99000099990001,0.997976492448384,1,0.997988362723616,0.01004899510049,"Ctrl","0.446448717948718","0.202304358974359",-1.14196706194591,"","","B"
"682","Streptococcus_tigurinus",9604,394,9608,398,9606,396,0.0397960203979602,0.0395960403959604,0.0393960603939606,0.116089210751056,0.325151575751516,0.299679505733637,0.960503949605039,"Disease","0.00165330128205128","0.00373323717948718",1.17507751690491,"","","B"
"683","Streptococcus_uberis",5029,1,10001,4973,7515,2487,0.497250274972503,0.248675132486751,9.99900009999e-05,0.000430495872568432,0.906134139061341,0.579010136960988,0.751424857514249,"N.S.","0","1.7275641025641e-05",Inf,"","","B"
"684","Streptococcus_vestibularis",4187,5813,4189,5815,4188,5814,0.581441855814419,0.581341865813419,0.581241875812419,0.773912793905795,1,0.872619627390079,0.418758124187581,"N.S.","0.0479342628205128","0.0744574038461538",0.635358068366864,"","","B"
"685","Subdoligranulum_sp_4_3_54A2FAA",9866,136,9866,136,9866,136,0.0135986401359864,0.0135986401359864,0.0135986401359864,0.0481646416639124,0.19986201379862,0.195943150782961,0.986501349865013,"Disease","0.118345865384615","0.245627980769231",1.05346561108239,"","","B"
"686","Subdoligranulum_unclassified",5615,4384,5618,4387,5616.5,4385.5,0.438656134386561,0.438506149385061,0.438356164383562,0.693554173994365,0.906134139061341,0.77319558366744,0.561593840615938,"N.S.","6.59729951923077","6.76030814102564",0.0352134022086094,"","","B"
"687","Subdoligranulum_variabile",8746,1255,8747,1256,8746.5,1255.5,0.125587441255874,0.125537446255374,0.125487451254875,0.285523662823591,0.575142485751425,0.52248100189981,0.874562543745625,"N.S.","0.00260365384615385","0.00326689102564103",0.327380675284197,"","","B"
"688","Succinatimonas_hippei",7758,2079,7923,2244,7840.5,2161.5,0.224377562243776,0.216128387161284,0.207879212078792,0.412887164322242,0.751697853470467,0.579010136960988,0.783971602839716,"N.S.","0.00628522435897436","0.00308762820512821",-1.02546520255688,"","","B"
"689","Sutterella_parvirubra",9191,687,9315,811,9253,749,0.0810918908109189,0.0748925107489251,0.0686931306869313,0.177663168934905,0.445076866359166,0.411051261286085,0.925207479252075,"N.S.","0.00406910256410256","0.0371591346153846",3.1909343537966,"","","B"
"690","Sutterella_wadsworthensis",5488,4509,5493,4514,5490.5,4511.5,0.451354864513549,0.451104889511049,0.450854914508549,0.693554173994365,0.906134139061341,0.77319558366744,0.548995100489951,"N.S.","0.39079891025641","0.304483141025641",-0.36006409481668,"","","B"
"691","Synergistes_sp_3_1_syn1",9621,271,9731,381,9676,326,0.0380961903809619,0.0325967403259674,0.0270972902709729,0.0869104200691042,0.318501870743158,0.292963203679632,0.967503249675033,"Disease","0.00435266025641026","0.0220385576923077",2.34006048902814,"","","B"
"692","Tannerella_forsythia",7170,1,10001,2832,8585.5,1416.5,0.283171682831717,0.141635836416358,9.99900009999e-05,0.000430495872568432,0.780472710304727,0.52248100189981,0.858464153584642,"N.S.","0","0.000121153846153846",Inf,"","","B"
"693","Terriglobus_unclassified",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000430495872568432,1,0.77319558366744,0.5000499950005,"N.S.","0","0",NA,"","","B"
"694","Tetragenococcus_halophilus",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000430495872568432,1,0.77319558366744,0.5000499950005,"N.S.","0","0",NA,"","","B"
"695","Thiomonas_unclassified",2187,5039,4963,7815,3575,6427,0.781421857814219,0.642635736426357,0.503849615038496,0.693554173994365,1,0.905049045876662,0.357464253574643,"N.S.","1.89102564102564e-05","1.39102564102564e-05",-0.443019911804725,"","","B"
"696","Treponema_denticola",9261,1,10001,741,9631,371,0.0740925907409259,0.0370962903709629,9.99900009999e-05,0.000430495872568432,0.422798196370839,0.2949151321427,0.963003699630037,"Disease","0","0.00130698717948718",Inf,"","","B"
"697","Treponema_maltophilum",7138,1,10001,2864,8569.5,1432.5,0.286371362863714,0.143235676432357,9.99900009999e-05,0.000430495872568432,0.780472710304727,0.52248100189981,0.856864313568643,"N.S.","0","0.000438621794871795",Inf,"","","B"
"698","Treponema_medium",8317,1,10001,1685,9159,843,0.168483151684832,0.0842915708429157,9.99900009999e-05,0.000430495872568432,0.662413437800605,0.425072527712264,0.915808419158084,"N.S.","0","0.000308717948717949",Inf,"","","B"
"699","Treponema_socranskii",9480,1,10001,522,9740.5,261.5,0.0521947805219478,0.0261473852614739,9.99900009999e-05,0.000430495872568432,0.351401308467284,0.264788309901404,0.973952604739526,"Disease","0","0.000314391025641026",Inf,"","","B"
"700","Treponema_succinifaciens",5023,1,10001,4979,7512,2490,0.497850214978502,0.248975102489751,9.99900009999e-05,0.000430495872568432,0.906134139061341,0.579010136960988,0.751124887511249,"N.S.","0","0.000154198717948718",Inf,"","","B"
"701","Treponema_vincentii",7229,1,10001,2773,8615,1387,0.277272272772723,0.138686131386861,9.99900009999e-05,0.000430495872568432,0.780472710304727,0.52248100189981,0.861413858614139,"N.S.","0","0.000403108974358974",Inf,"","","B"
"702","Tropheryma_whipplei",1556,6711,3291,8446,2423.5,7578.5,0.844515548445156,0.757774222577742,0.671032896710329,0.840544691175482,1,0.920580154822356,0.242325767423258,"N.S.","5.75961538461538e-05","1.38141025641026e-05",-2.05983063442084,"","","B"
"703","Turicibacter_sanguinis",8320,1672,8330,1682,8325,1677,0.168183181681832,0.167683231676832,0.167183281671833,0.353543469182494,0.662413437800605,0.56903837918095,0.832416758324168,"N.S.","0.0105665064102564","0.0151594230769231",0.520716390577052,"","","B"
"704","Turicibacter_unclassified",8459,1538,8464,1543,8461.5,1540.5,0.154284571542846,0.154034596540346,0.153784621537846,0.330063113091676,0.648716999645065,0.540248170304921,0.846065393460654,"N.S.","0.0153286858974359","0.0108582371794872",-0.497444119956647,"","","B"
